id,name,category,price,stock,description,indication,dosage,ingredients,benefits,side_effects,expiry,type,photo,is_active,tags
264,Rivanol 300 ml,Obat Kulit & Luka,12000.0,378,Ethacridine Lactate 0.1% besar,Membersihkan luka besar; Gejala: cuci luka besar,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Ethacridine Lactate 0.1% besar,Membersihkan luka besar; cuci luka besar; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Kulit menguning,2028-03-15,Produk,/medicines/Rivanol 300 ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
265,Hansaplast Spray Antiseptik 50ml,Obat Kulit & Luka,45000.0,349,Octenidine Dihydrochloride,Cuci luka tanpa perih modern; Gejala: cuci luka gak perih; semprot luka; luka bayi,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Octenidine Dihydrochloride,Cuci luka tanpa perih modern; cuci luka gak perih; semprot luka; luka bayi; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-03-15,Spray,/medicines/Hansaplast Spray Antiseptik 50ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
266,Hansaplast Koyo Panas,Obat Kulit & Luka,8000.0,321,"Methyl Salicylate, Menthol koyo",Nyeri otot dan pegal lewat koyo; Gejala: koyo panas; pegal linu; nyeri punggung,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Methyl Salicylate, Menthol koyo",Nyeri otot dan pegal lewat koyo; koyo panas; pegal linu; nyeri punggung; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Kemerahan kulit,2028-12-31,Produk,/medicines/Hansaplast Koyo Panas.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
267,Hansaplast Koyo Hangat,Obat Kulit & Luka,8000.0,350,"Capsaicin, Menthol koyo hangat",Pegal hangat; Gejala: koyo hangat; pegal,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Capsaicin, Menthol koyo hangat",Pegal hangat; koyo hangat; pegal; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Kemerahan kulit,2027-06-30,Produk,/medicines/Hansaplast Koyo Hangat.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
268,Hansaplast Tube 15g,Obat Kulit & Luka,25000.0,485,"Dexpanthenol, Chlorhexidine cream",Perawatan luka dan kulit sensitif; Gejala: perawatan luka; kulit sensitif,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Dexpanthenol, Chlorhexidine cream",Perawatan luka dan kulit sensitif; perawatan luka; kulit sensitif; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2029-01-15,Produk,/medicines/Hansaplast Tube 15g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
269,Bioplacenton Gel 15g,Obat Kulit & Luka,35000.0,311,"Placenta Extract 10%, Neomycin Sulfate 0.5%","Luka bakar knalpot, luka bakar ringan; Gejala: luka bakar; luka knalpot; salep luka bakar",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Placenta Extract 10%, Neomycin Sulfate 0.5%","Luka bakar knalpot, luka bakar ringan; luka bakar; luka knalpot; salep luka bakar; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Alergi neomycin (jarang),2028-12-31,Gel,/medicines/Bioplacenton Gel 15g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
270,Burnazin Cream 35g,Obat Kulit & Luka,85000.0,81,Silver Sulfadiazine 1%,Luka bakar derajat 2; Gejala: luka bakar parah; silver sulfadiazine,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Silver Sulfadiazine 1%,Luka bakar derajat 2; luka bakar parah; silver sulfadiazine; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Iritasi kulit sementara,2029-01-15,Topikal,/medicines/Burnazin Cream 35g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
271,Dermatix Ultra Gel 5g,Obat Kulit & Luka,120000.0,92,"Cyclopentasiloxane, Vitamin C Ester gel","Bekas luka menonjol, keloid, stretchmark; Gejala: bekas luka; keloid; stretchmark",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Cyclopentasiloxane, Vitamin C Ester gel","Bekas luka menonjol, keloid, stretchmark; bekas luka; keloid; stretchmark; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Jarang,2027-06-30,Gel,/medicines/Dermatix Ultra Gel 5g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
272,Mebo Ointment 20g,Obat Kulit & Luka,110000.0,90,"Radix Scutellariae, Cortex Phellodendri, Minyak Wijen","Luka bakar, ulkus herbal; Gejala: luka bakar herbal; ulkus; bau wijen",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Radix Scutellariae, Cortex Phellodendri, Minyak Wijen","Luka bakar, ulkus herbal; luka bakar herbal; ulkus; bau wijen; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Bau wijen kuat,2027-06-30,Salep,/medicines/Mebo Ointment 20g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
273,Mebo Tube 50g,Obat Kulit & Luka,220000.0,64,"Radix Scutellariae, minyak wijen tube besar",Luka bakar besar herbal; Gejala: luka bakar luas; herbal,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Radix Scutellariae, minyak wijen tube besar",Luka bakar besar herbal; luka bakar luas; herbal; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Bau wijen,2029-01-15,Produk,/medicines/Mebo Tube 50g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
274,Nebacetin Ointment 5g,Obat Kulit & Luka,28000.0,344,"Neomycin Sulfate 3500IU, Bacitracin 250IU","Luka bernanah, infeksi bakteri kulit; Gejala: luka bernanah; koreng; infeksi kulit",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Neomycin Sulfate 3500IU, Bacitracin 250IU","Luka bernanah, infeksi bakteri kulit; luka bernanah; koreng; infeksi kulit; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Alergi lokal,2028-12-31,Salep,/medicines/Nebacetin Ointment 5g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
275,Nebacetin Powder 5g,Obat Kulit & Luka,35000.0,376,"Neomycin Sulfate, Bacitracin bubuk",Luka basah bernanah bubuk; Gejala: luka basah; koreng bubuk,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Neomycin Sulfate, Bacitracin bubuk",Luka basah bernanah bubuk; luka basah; koreng bubuk; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Alergi lokal,2026-12-31,Produk,/medicines/Nebacetin Powder 5g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
276,Garamycin Cream 5g,Obat Kulit & Luka,45000.0,279,Gentamicin Sulfate 0.1% cream,"Impetigo, infeksi kulit bakteri; Gejala: impetigo; infeksi kulit",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Gentamicin Sulfate 0.1% cream,"Impetigo, infeksi kulit bakteri; impetigo; infeksi kulit; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Gatal ringan,2027-06-30,Topikal,/medicines/Garamycin Cream 5g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
277,Garamycin Ointment 15g,Obat Kulit & Luka,85000.0,36,Gentamicin Sulfate 0.1% salep,Infeksi kulit kronis; Gejala: infeksi kulit kronis; bisul besar,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Gentamicin Sulfate 0.1% salep,Infeksi kulit kronis; infeksi kulit kronis; bisul besar; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Gatal,2029-01-15,Salep,/medicines/Garamycin Ointment 15g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
278,Fusycom Gel,Obat Kulit & Luka,35000.0,317,Fusidic Acid 2%,"Impetigo, infeksi bakteri kulit; Gejala: impetigo; infeksi kulit bakteri",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Fusidic Acid 2%,"Impetigo, infeksi bakteri kulit; impetigo; infeksi kulit bakteri; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Iritasi lokal,2028-03-15,Gel,https://placehold.co/400x300/f8fafc/ec4899?text=Fusycom+Gel,True,"[""otc"",""indonesia"",""chatbot-ready""]"
279,Mupirocin Salep,Obat Kulit & Luka,45000.0,392,Mupirocin 2%,Infeksi kulit stafilokokus; Gejala: bisul; infeksi kulit stafilokokus,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Mupirocin 2%,Infeksi kulit stafilokokus; bisul; infeksi kulit stafilokokus; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Iritasi lokal,2028-12-31,Salep,https://placehold.co/400x300/f8fafc/ec4899?text=Mupirocin+Salep,True,"[""otc"",""indonesia"",""chatbot-ready""]"
280,Acne-Aid Bar Sabun,Obat Kulit & Luka,35000.0,224,"Triclosan, Zinc",Sabun jerawat anti bakteri; Gejala: jerawat; sabun anti jerawat,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Triclosan, Zinc",Sabun jerawat anti bakteri; jerawat; sabun anti jerawat; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Kulit kering,2028-12-31,Produk,https://placehold.co/400x300/f8fafc/ec4899?text=Acne-Aid+Bar+Sabun,True,"[""otc"",""indonesia"",""chatbot-ready""]"
281,Benzolac Gel 2.5%,Obat Kulit & Luka,25000.0,366,Benzoyl Peroxide 2.5%,Jerawat ringan sedang; Gejala: jerawat; benzoyl peroxide; obat jerawat,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Benzoyl Peroxide 2.5%,Jerawat ringan sedang; jerawat; benzoyl peroxide; obat jerawat; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Kulit kering, mengelupas",2029-01-15,Gel,https://placehold.co/400x300/f8fafc/ec4899?text=Benzolac+Gel+2.5%,True,"[""otc"",""indonesia"",""chatbot-ready""]"
282,Acnes Sealing Jell,Obat Kulit & Luka,28000.0,234,"Triclosan, Zinc, Vitamin E",Gel jerawat anti bakteri; Gejala: gel jerawat; anti bakteri jerawat,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Triclosan, Zinc, Vitamin E",Gel jerawat anti bakteri; gel jerawat; anti bakteri jerawat; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Kulit kering,2028-03-15,Produk,https://placehold.co/400x300/f8fafc/ec4899?text=Acnes+Sealing+Jell,True,"[""otc"",""indonesia"",""chatbot-ready""]"
283,Kalpanax K Cream 5g,Antijamur & Kulit,15000.0,225,Miconazole Nitrate 2%,"Panu, kurap, kutu air cream; Gejala: panu; kurap; jamur kulit",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Miconazole Nitrate 2%,"Panu, kurap, kutu air cream; panu; kurap; jamur kulit; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Rasa terbakar,2028-03-15,Topikal,/medicines/Kalpanax K Cream 5g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
284,Kalpanax Cair 10ml,Antijamur & Kulit,12000.0,105,"Salicylic Acid, Benzoic Acid cair",Panu keras dan kutu air cair; Gejala: panu keras; kutu air cair,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Salicylic Acid, Benzoic Acid cair",Panu keras dan kutu air cair; panu keras; kutu air cair; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Rasa terbakar kuat,2026-12-31,Produk,/medicines/Kalpanax Cair 10ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
285,Kalpanax Box 30s,Antijamur & Kulit,55000.0,70,Miconazole Nitrate tablet kunyah/kapsul,Jamur sistemik atau luas; Gejala: jamur sistemik; panu luas,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Miconazole Nitrate tablet kunyah/kapsul,Jamur sistemik atau luas; jamur sistemik; panu luas; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Gangguan lambung,2027-06-30,Produk,/medicines/Kalpanax Box 30s.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
286,Daktarin Cream 15g,Antijamur & Kulit,55000.0,36,Miconazole Nitrate 2% cream,Infeksi jamur kulit dan lipatan tubuh; Gejala: jamur selangkangan; kutu air; dermatofitosis,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Miconazole Nitrate 2% cream,Infeksi jamur kulit dan lipatan tubuh; jamur selangkangan; kutu air; dermatofitosis; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Iritasi ringan,2027-06-30,Topikal,/medicines/Daktarin Cream 15g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
287,Daktarin Powder 20g,Antijamur & Kulit,65000.0,59,Miconazole Nitrate 2% bedak,Jamur kaki dan sela jari bedak; Gejala: bedak jamur kaki; kutu air bedak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Miconazole Nitrate 2% bedak,Jamur kaki dan sela jari bedak; bedak jamur kaki; kutu air bedak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Iritasi,2027-06-30,Produk,/medicines/Daktarin Powder 20g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
288,Daktarin Diaper Cream,Antijamur & Kulit,75000.0,41,"Miconazole Nitrate, Zinc Oxide krim popok",Ruam popok karena jamur; Gejala: ruam popok jamur; jamur popok,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Miconazole Nitrate, Zinc Oxide krim popok",Ruam popok karena jamur; ruam popok jamur; jamur popok; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Iritasi,2027-06-30,Topikal,/medicines/Daktarin Diaper Cream.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
289,Canesten Cream 10g,Antijamur & Kulit,48000.0,368,Clotrimazole 1% cream,"Panu, kadas, kurap; Gejala: jamur kulit paten; kadas; ringworm",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Clotrimazole 1% cream,"Panu, kadas, kurap; jamur kulit paten; kadas; ringworm; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Kemerahan lokal,2027-06-30,Topikal,/medicines/Canesten Cream 10g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
290,Fungiderm Cream 5g,Antijamur & Kulit,18000.0,246,Clotrimazole 1% cream kecil,Infeksi jamur ringan; Gejala: jamur kulit murah; panu,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Clotrimazole 1% cream kecil,Infeksi jamur ringan; jamur kulit murah; panu; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Iritasi,2028-03-15,Topikal,/medicines/Fungiderm Cream 5g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
291,Fungiderm Cream 15g,Antijamur & Kulit,35000.0,296,Clotrimazole 1% cream besar,Infeksi jamur sedang; Gejala: jamur selangkangan,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Clotrimazole 1% cream besar,Infeksi jamur sedang; jamur selangkangan; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Iritasi,2027-06-30,Topikal,/medicines/Fungiderm Cream 15g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
292,Mycoral Cream 5g,Antijamur & Kulit,22000.0,249,Ketoconazole 2% cream,Jamur membandel pada kulit; Gejala: kurap parah; jamur membandel,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Ketoconazole 2% cream,Jamur membandel pada kulit; kurap parah; jamur membandel; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Gatal ringan,2026-12-31,Topikal,/medicines/Mycoral Cream 5g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
293,Mycoral Tablet 200mg,Antijamur & Kulit,55000.0,53,Ketoconazole 200mg tablet,Jamur sistemik dan kulit luas; Gejala: jamur kuku; panu luas; tinea versicolor,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Ketoconazole 200mg tablet,Jamur sistemik dan kulit luas; jamur kuku; panu luas; tinea versicolor; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Mual, gangguan hati",2026-12-31,Tablet,/medicines/Mycoral Tablet 200mg.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
294,Mycoral Tube 50g,Antijamur & Kulit,65000.0,45,Ketoconazole 2% tube besar,Jamur kulit luas; Gejala: jamur luas; panu seluruh tubuh,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Ketoconazole 2% tube besar,Jamur kulit luas; jamur luas; panu seluruh tubuh; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Gatal ringan,2026-12-31,Produk,/medicines/Mycoral Tube 50g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
295,Scabimite Cream 10g,Antijamur & Kulit,65000.0,35,Permethrin 5%,"Kudis (Scabies), tungau kulit; Gejala: kudis; scabies; tungau kasur; gatal malam",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Permethrin 5%,"Kudis (Scabies), tungau kulit; kudis; scabies; tungau kasur; gatal malam; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Rasa panas,2026-12-31,Topikal,/medicines/Scabimite Cream 10g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
296,Scabimite Cream 30g,Antijamur & Kulit,110000.0,49,Permethrin 5% kemasan besar,Kudis seluruh badan; Gejala: kudis badan; scabies luas,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Permethrin 5% kemasan besar,Kudis seluruh badan; kudis badan; scabies luas; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Rasa panas,2027-06-30,Topikal,/medicines/Scabimite Cream 30g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
297,Salep 88 Pot 6g,Antijamur & Kulit,12000.0,400,"Salicylic Acid 6%, Benzoic Acid 12%, Sulfur 4%",Panu keras tradisional; Gejala: panu keras; salep gatal panas; murah,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Salicylic Acid 6%, Benzoic Acid 12%, Sulfur 4%",Panu keras tradisional; panu keras; salep gatal panas; murah; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Panas menyengat, kulit terkelupas",2028-03-15,Salep,/medicines/Salep 88 Pot 6g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
298,Ketoconazole Cream 10g,Antijamur & Kulit,10000.0,231,Ketoconazole 2% generik,Jamur kulit generik murah; Gejala: jamur murah; kurap generik,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Ketoconazole 2% generik,Jamur kulit generik murah; jamur murah; kurap generik; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Iritasi,2027-06-30,Topikal,/medicines/Ketoconazole Cream 10g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
299,Ketoconazole Tablet,Antijamur & Kulit,15000.0,309,Ketoconazole 200mg generik,Jamur sistemik generik; Gejala: jamur sistemik murah,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Ketoconazole 200mg generik,Jamur sistemik generik; jamur sistemik murah; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Mual,2028-12-31,Tablet,/medicines/Ketoconazole Tablet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
300,Ketoconazole Box 100s,Antijamur & Kulit,95000.0,88,Ketoconazole 200mg generik isi banyak,Jamur stok banyak; Gejala: jamur sistemik stok,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Ketoconazole 200mg generik isi banyak,Jamur stok banyak; jamur sistemik stok; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Mual, hati",2029-01-15,Produk,/medicines/Ketoconazole Box 100s.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
301,Terbinafine Cream,Antijamur & Kulit,45000.0,448,Terbinafine HCl 1%,"Kutu air berat, tinea pedis; Gejala: kutu air berat; jamur kaki; tinea pedis",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Terbinafine HCl 1%,"Kutu air berat, tinea pedis; kutu air berat; jamur kaki; tinea pedis; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Iritasi ringan,2029-01-15,Topikal,https://placehold.co/400x300/f8fafc/14b8a6?text=Terbinafine+Cream,True,"[""otc"",""indonesia"",""chatbot-ready""]"
302,Fluconazole Kapsul 150mg,Antijamur & Kulit,35000.0,450,Fluconazole 150mg,"Jamur vaginal, kandidiasis oral; Gejala: jamur vaginal; kandidiasis",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Fluconazole 150mg,"Jamur vaginal, kandidiasis oral; jamur vaginal; kandidiasis; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.","Mual, sakit kepala",2028-03-15,Kapsul,https://placehold.co/400x300/f8fafc/14b8a6?text=Fluconazole+Kapsul+150mg,True,"[""otc"",""indonesia"",""chatbot-ready""]"
303,Ciclopirox Olamine Cream,Antijamur & Kulit,55000.0,31,Ciclopirox Olamine 1%,"Tinea versicolor, dermatofitosis; Gejala: tinea versicolor; panu parah",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Ciclopirox Olamine 1%,"Tinea versicolor, dermatofitosis; tinea versicolor; panu parah; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Iritasi,2028-12-31,Topikal,https://placehold.co/400x300/f8fafc/14b8a6?text=Ciclopirox+Olamine+Cream,True,"[""otc"",""indonesia"",""chatbot-ready""]"
304,Counterpain Krim 15g,Obat Oles Nyeri,25000.0,197,"Methyl Salicylate 32.2%, Menthol 10%, Eugenol 1.25%","Nyeri otot, keseleo, pegal linu; Gejala: keseleo; salah urat; pegal linu",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Methyl Salicylate 32.2%, Menthol 10%, Eugenol 1.25%","Nyeri otot, keseleo, pegal linu; keseleo; salah urat; pegal linu; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Panas berlebih jika dikompres,2028-03-15,Produk,/medicines/Counterpain Krim 15g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
305,Counterpain Krim 30g,Obat Oles Nyeri,45000.0,392,"Methyl Salicylate, Menthol, Eugenol cream medium",Nyeri otot medium; Gejala: pegal; nyeri otot,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Methyl Salicylate, Menthol, Eugenol cream medium",Nyeri otot medium; pegal; nyeri otot; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Panas berlebih,2027-06-30,Produk,/medicines/Counterpain Krim 30g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
306,Counterpain Cool Gel 30g,Obat Oles Nyeri,50000.0,472,"Methyl Salicylate, Menthol gel dingin","Cedera baru, bengkak akut, peradangan; Gejala: bengkak baru; keseleo dingin; RICE",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Methyl Salicylate, Menthol gel dingin","Cedera baru, bengkak akut, peradangan; bengkak baru; keseleo dingin; RICE; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Jarang,2029-01-15,Gel,/medicines/Counterpain Cool Gel 30g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
307,Voltaren Emulgel 10g,Obat Oles Nyeri,55000.0,45,Diclofenac Diethylamine 1.16%,"Nyeri sendi, tendinitis, memar; Gejala: nyeri sendi lutut; bengkak keseleo; diclofenac",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Diclofenac Diethylamine 1.16%,"Nyeri sendi, tendinitis, memar; nyeri sendi lutut; bengkak keseleo; diclofenac; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Kemerahan kulit,2028-03-15,Gel,/medicines/Voltaren Emulgel 10g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
308,Voltaren Emulgel 20g,Obat Oles Nyeri,85000.0,76,Diclofenac Diethylamine 1.16% medium,Nyeri sendi dan otot medium; Gejala: nyeri sendi; otot,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Diclofenac Diethylamine 1.16% medium,Nyeri sendi dan otot medium; nyeri sendi; otot; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Kemerahan,2028-12-31,Gel,/medicines/Voltaren Emulgel 20g.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
